"","호선","역명","감소율"
"237","5호선","올림픽공원",33.9602189472999
"238","5호선","종로3가",34.466364582458
"239","7호선","고속터미널",35.0033472522552
"240","7호선","대림",35.2674381552741
"241","1호선","시청",35.3588359001767
"242","6호선","고려대",36.2644499218728
"243","3호선","안국",36.3059651549854
"244","4호선","충무로",36.5408006701729
"245","4호선","혜화",36.7355582712043
"246","1호선","종각",36.7588802691796
"247","3호선","잠원",37.0478383593434
"248","1호선","종로3가",37.2036665980989
"249","4호선","숙대입구",37.4023556362631
"250","1호선","동대문",37.6654053306832
"251","3호선","고속터미널",37.7685428946356
"252","1호선","서울역",38.0659864519298
"253","6호선","상수",38.2530373927446
"254","4호선","회현",38.3909681914406
"255","7호선","건대입구",38.4362792123589
"256","5호선","송정",38.7577653145594
"257","2호선","을지로입구",39.0691655251554
"258","3호선","학여울",39.1516348231691
"259","6호선","월드컵경기장",39.5084945382366
"260","3호선","경복궁",39.7262119541248
"261","7호선","숭실대입구",40.0098523398088
"262","7호선","어린이대공원",40.9333120944896
"263","2호선","강변",41.9092928708071
"264","2호선","신촌",42.1763980248011
"265","2호선","홍대입구",42.5407962522308
"266","4호선","서울역",42.9511691270486
"267","6호선","안암",44.0809259215457
"268","4호선","동대문역사문화공원",46.156998895585
"269","6호선","이태원",46.4977795563594
"270","2호선","동대문역사문화공원",47.6439094971764
"271","3호선","동대입구",49.8616835200979
"272","2호선","이대",51.5871334808084
"273","2호선","한양대",52.4175397605175
"274","2호선","종합운동장",55.7758051059344
"275","4호선","명동",64.5721683727352
